SH,Old_Entries,New_Entries,Conflict_Type
SH1087875.10FU,"Verrucaria_rupestris, Verrucaria_muralis",Verrucaria_muralis,Different species in SH
SH1202417.10FU,"Amanita_mafingensis, Amanita_tanzanica, Amanita_sp","Amanita_mafingensis, Amanita_sp",Different species in SH
SH1368040.10FU,"Phellinus_occidentalis, Phellinus_overholtsii",Phellinopsis_overholtsii,Different species in SH
SH1214372.10FU,"Inocybe_calida, Inocybe_sp, Inocybe_brunneorufa","Inocybe_calida, Inocybe_sp",Different species in SH
SH1314836.10FU,"Oidiodendron_sp, Helotiales_sp, Oidiodendron_majus, Oidiodendron_maius, Myxotrichaceae_sp, Dothideomycetes_sp, Fungi_sp, Erysiphales_sp","Oidiodendron_sp, Helotiales_sp, Oidiodendron_majus, Myxotrichaceae_sp, Dothideomycetes_sp, Fungi_sp, Erysiphales_sp",Different species in SH
SH1221627.10FU,"Clitocybula_atrialba, Clitocybula_sp, Gerronema_atrialbum","Gerronema_atrialbum, Clitocybula_sp",Different species in SH
SH1308189.10FU,"Penicillium_brevicompactum, Penicillium_sp, Penicillium_biourgeianum","Penicillium_brevicompactum, Penicillium_sp",Different species in SH
SH1207643.10FU,"Filobasidium_sp, Filobasidium_globosporum, Filobasidium_globisporum","Filobasidium_sp, Filobasidium_globosporum",Different species in SH
SH1234564.10FU,"Neolentinus_cyathiformis, Neolentinus_schaefferi, Neolentinus_sp","Neolentinus_cyathiformis, Neolentinus_sp",Different species in SH
SH1221462.10FU,"Hymenochaete_sphaericola, Hymenochaete_mougeotii",Hymenochaete_mougeotii,Different species in SH
SH1398324.10FU,"Neoscytalidium_dimidiatum, Neoscytalidium_hyalinum, Neoscytalidium_sp","Neoscytalidium_dimidiatum, Neoscytalidium_sp",Different species in SH
SH1406096.10FU,"Inocybe_vinaceobrunnea, Inocybe_sp, Inosperma_vinaceobrunneum","Inosperma_vinaceobrunneum, Inocybe_sp",Different species in SH
SH1223622.10FU,"Melampsora_sp, Melampsora_nujiangensis, Melampsora_abietis-populi","Melampsora_sp, Melampsora_abietis-populi",Different species in SH
SH1051591.10FU,"Nephroma_helveticum, Nephroma_sipeanum",Nephroma_helveticum,Different species in SH
SH1273770.10FU,"Ramaria_botrytis, Ramaria_inquinata",Ramaria_botrytis,Different species in SH
SH1080341.10FU,"Irpex_rosettiformis, Hydnopolyporus_fimbriatus, Hydnopolyporus_sp","Irpex_rosettiformis, Hydnopolyporus_sp",Different species in SH
SH1256379.10FU,"Cantharellales_sp, Rhizoctonia_sp, Ceratobasidium_bicorne, Rhizoctonia_bicornis","Cantharellales_sp, Rhizoctonia_sp, Rhizoctonia_bicornis",Different species in SH
SH1232775.10FU,"Marjia_tianschanica, Marjia_tianshanica",Marjia_tianshanica,Different species in SH
SH1222994.10FU,"Polyporales_sp, Hyphodontia_latitans, Kneiffiella_abdita","Polyporales_sp, Kneiffiella_abdita",Different species in SH
SH1190554.10FU,"Hydnum_minus, Hydnum_sp, Hydnum_minum","Hydnum_minus, Hydnum_sp",Different species in SH
SH1198765.10FU,"Protoparmelia_picea, Protoparmelia_sp, Protoparmelia_badia","Protoparmelia_badia, Protoparmelia_sp",Different species in SH
SH1314726.10FU,"Helotiales_sp, Oidiodendron_sp, Oidiodendron_maius, Fungi_sp, Oidiodendron_majus","Helotiales_sp, Oidiodendron_sp, Oidiodendron_majus, Fungi_sp",Different species in SH
SH1357657.10FU,"Lecanora_rugosella, Lecanora_chlarotera",Lecanora_chlarotera,Different species in SH
SH1080827.10FU,"Hymenochaetales_sp, Inonotus_setuloso-croceus, Inonotus_setulosocroceus","Hymenochaetales_sp, Inonotus_setulosocroceus",Different species in SH
SH1174478.10FU,"Dematipyriforma_aquilaria, Savoryellaceae_sp, Dematipyriforma_aquilariae","Dematipyriforma_aquilariae, Savoryellaceae_sp",Different species in SH
SH1391060.10FU,"Nigrospora_sp, Nigrospora_oryzae, Nigrospora_sphaerica","Nigrospora_sp, Nigrospora_oryzae",Different species in SH
SH1194068.10FU,"Hygrocybe_konradii, Hygrocybe_acutoconica",Hygrocybe_acutoconica,Different species in SH
SH1210235.10FU,"Entoloma_rhodopolium, Entoloma_sp, Fungi_sp, Entoloma_nidorosum","Entoloma_rhodopolium, Entoloma_sp, Fungi_sp",Different species in SH
SH1302033.10FU,"Peltigera_gowardii, Peltigera_aquatica",Peltigera_hydrothyria,Different species in SH
SH1312118.10FU,"Polyporus_parvivarius, Polyporus_sp, Polyporus_parvovarius","Polyporus_parvivarius, Polyporus_sp",Different species in SH
SH1080793.10FU,"Basidiobolus_meristosporus, Basidiobolus_ranarum",Basidiobolus_ranarum,Different species in SH
SH1296165.10FU,"Fungi_sp, Holwaya_mucida, Crinula_caliciiformis","Fungi_sp, Holwaya_mucida",Different species in SH
SH1330550.10FU,"Moesziomyces_bullatus, Moesziomyces_sp, Moesziomyces_penicillariae","Moesziomyces_bullatus, Moesziomyces_sp",Different species in SH
SH1205581.10FU,"Entoloma_sp, Entoloma_sarcitulum, Entoloma_longistriatum","Entoloma_sp, Entoloma_longistriatum",Different species in SH
SH1096703.10FU,"Lepraria_jackii, Lepraria_toensbergiana",Lepraria_jackii,Different species in SH
SH1052202.10FU,"Verrucaria_furfuracea, Verrucaria_macrostoma",Verrucaria_macrostoma,Different species in SH
SH1200222.10FU,"Cordierites_frondosus, Cordierites_frondosa",Cordierites_frondosus,Different species in SH
SH1366013.10FU,"Sparassis_sp, Sparassis_brevipes, Sparassis_nemecii","Sparassis_sp, Sparassis_brevipes",Different species in SH
SH1295842.10FU,"Descomyces_sp, Descomyces_albus, Descolea_alba","Descomyces_sp, Conocybe_alba, Descolea_alba",Different species in SH
SH1365542.10FU,"Cortinarius_angelesianus, Cortinarius_sp, Cortinarius_tubulipes","Cortinarius_angelesianus, Cortinarius_sp",Different species in SH
SH1088147.10FU,"Amauroderma_sprucei, Foraminispora_rugosa, Perenniporia_sp","Foraminispora_rugosa, Perenniporia_sp",Different species in SH
SH1202415.10FU,"Amanita_sp, Amanita_mafingensis, Amanita_tanzanica","Amanita_sp, Amanita_mafingensis",Different species in SH
SH1150799.10FU,"Geastrum_schmidelii, Geastrum_striatum",Geastrum_striatum,Different species in SH
SH1400534.10FU,"Cartilosoma_sp, Cartilosoma_rene-hentic, Cartilosoma_renehenticii","Cartilosoma_sp, Antrodia_renehenticii",Different species in SH
SH1223591.10FU,"Melampsoraceae_sp, Melampsora_populnea, Melampsora_larici-tremulae, Melampsora_sp, Fungi_sp","Melampsoraceae_sp, Melampsora_populnea, Melampsora_sp, Fungi_sp",Different species in SH
SH1376144.10FU,"Hebeloma_birrus, Hebeloma_pumilum, Hebeloma_sp","Hebeloma_birrus, Hebeloma_sp",Different species in SH
SH1367067.10FU,"Hypoxylon_nicaraguense, Hypoxylon_sp, Pyrenopolyporus_nicaraguensis","Pyrenopolyporus_nicaraguensis, Hypoxylon_sp",Different species in SH
SH1188049.10FU,"Penicillium_hirayamae, Penicillium_citreonigrum",Penicillium_citreonigrum,Different species in SH
SH1252475.10FU,"Ramaria_sardiniensis, Ramaria_magnifica",Ramaria_magnifica,Different species in SH
SH1353832.10FU,"Caloplaca_limitosa, Caloplaca_festivella","Blastenia_festivella, Caloplaca_festivella",Different species in SH
SH1331175.10FU,"Orbilia_delicatula, Orbilia_xanthostigma",Orbilia_xanthostigma,Different species in SH
SH1081661.10FU,"Heterodermia_tremulans, Heterodermia_speciosa",Heterodermia_speciosa,Different species in SH
SH1080311.10FU,"Auriculariopsis_albomellea, Fungi_sp, Cytidiella_melzeri","Phlebia_albomellea, Fungi_sp",Different species in SH
SH1358459.10FU,"Elaphomyces_sp, Elaphomyces_papillatus, Elaphomyces_striatosporus","Elaphomyces_sp, Elaphomyces_papillatus",Different species in SH
SH1376352.10FU,"Galerina_stordalii, Galerina_saxicola",Galerina_stordalii,Different species in SH
SH1210660.10FU,"Basidiomycota_sp, Mycena_olida, Mycena_sp, Phloeomana_minutula","Basidiomycota_sp, Phloeomana_minutula, Mycena_sp",Different species in SH
SH1207088.10FU,"Chaetosphaeria_sp, Fungi_sp, Chaetosphaeriales_sp, Ascomycota_sp, Chaetosphaeria_vermicularioides, Chloridium_caudigerum","Chaetosphaeria_sp, Fungi_sp, Chaetosphaeriales_sp, Ascomycota_sp, Chaetosphaeria_vermicularioides",Different species in SH
SH1079259.10FU,"Diaporthe_sp, Diaporthe_phaseolorum, Diaporthe_caulivora, Talaromyces_sp","Diaporthe_sp, Diaporthe_phaseolorum, Talaromyces_sp",Different species in SH
SH1340007.10FU,"Erysiphe_diervillae, Erysiphe_weigelae",Erysiphe_diervillae,Different species in SH
SH1387102.10FU,"Psathyrellaceae_sp, Coprinellus_sp, Coprinellus_pakistanicus, Punjabia_pakistanica","Psathyrellaceae_sp, Coprinellus_sp, Punjabia_pakistanica",Different species in SH
SH1227590.10FU,"Polyblastia_gotlandica, Polyblastia_albida",Polyblastia_albida,Different species in SH
SH1175339.10FU,"Entoloma_sp, Entoloma_brunneosericeum, Entoloma_incanosquamulosum","Entoloma_sp, Entoloma_incanosquamulosum",Different species in SH
SH1196700.10FU,"Zoopagales_sp, Piptocephalis_virginiana, Piptocephalis_cylindrospora, Piptocephalis_sp","Zoopagales_sp, Piptocephalis_cylindrospora, Piptocephalis_sp",Different species in SH
SH1432557.10FU,"Fusarium_verticillioides, Fusarium_fujikuroi",Fusarium_fujikuroi,Different species in SH
SH1397991.10FU,"Calvatia_fragilis, Entoloma_sp, Calvatia_cyathiformis, Calvatia_sp, Agaricales_sp","Calvatia_cyathiformis, Entoloma_sp, Calvatia_sp, Agaricales_sp",Different species in SH
SH1353857.10FU,"Caloplaca_limitosa, Caloplaca_festivella","Blastenia_festivella, Caloplaca_festivella",Different species in SH
SH1379197.10FU,"Nectria_balansae, Nectria_sinensis",Nectria_balansae,Different species in SH
SH1272009.10FU,"Calocybe_sp, Rugosomyces_onychinus, Calocybe_onychina, Rugosomyces_sp","Calocybe_sp, Calocybe_onychina, Rugosomyces_sp",Different species in SH
SH1379053.10FU,"Myrothecium_leucotrichum, Myrothecium_sp, Xepicula_leucotricha, Xepicula_sp, Paramyrothecium_sp","Xepicula_leucotricha, Myrothecium_sp, Xepicula_sp, Paramyrothecium_sp",Different species in SH
SH1403392.10FU,"Cortinarius_sp, Cortinarius_olivaceofuscus, Dermocybe_sp, Cortinariaceae_sp, Dermocybe_carpineti","Cortinarius_sp, Cortinarius_olivaceofuscus, Dermocybe_sp, Cortinariaceae_sp",Different species in SH
SH1159983.10FU,"Hymenopellis_chiangmaiae, Hymenopellis_raphanipes, Xerula_sp","Hymenopellis_raphanipes, Xerula_sp",Different species in SH
SH1235290.10FU,"Taphrina_caerulescens, Taphrina_coerulescens",Taphrina_caerulescens,Different species in SH
SH1124686.10FU,"Sparticola_junci, Sparticola_juncei, Fungi_sp, Sparticola_sp","Sparticola_juncei, Fungi_sp, Sparticola_sp",Different species in SH
SH1357845.10FU,"Sticta_phyllidiofuliginosa, Sticta_phyllidiifuliginosa",Sticta_phyllidiifuliginosa,Different species in SH
SH1307463.10FU,"Penicillium_shearii, Penicillium_miczynskii, Penicillium_sp","Penicillium_miczynskii, Penicillium_sp",Different species in SH
SH1219518.10FU,"Rinodina_mniaroeiza, Rinodina_mniaroea",Rinodina_mniaroea,Different species in SH
SH1220959.10FU,"Boletus_pallidus, Boletaceae_sp, Boletus_sp, Imleria_pallida","Imleria_pallida, Boletaceae_sp, Boletus_sp",Different species in SH
SH1385323.10FU,"Inocybe_sp, Inocybe_guttulifer, Pseudosperma_guttuliferum","Inocybe_sp, Pseudosperma_guttuliferum",Different species in SH
SH1198957.10FU,"Xanthoparmelia_plittii, Xanthoparmelia_dierythra",Xanthoparmelia_plittii,Different species in SH
SH1307390.10FU,"Penicillium_sp, Penicillium_estinogenum, Penicillium_melinii","Penicillium_sp, Penicillium_melinii",Different species in SH
SH1340019.10FU,"Erysiphe_necator, Erysiphe_ampelopsidis",Erysiphe_necator,Different species in SH
SH1277873.10FU,"Brevicellicium_olivascens, Brevicellicium_viridulum",Brevicellicium_olivascens,Different species in SH
SH1199052.10FU,"Parmelia_cochleata, Parmelia_sp, Parmelia_fertilis","Parmelia_fertilis, Parmelia_sp",Different species in SH
SH1275225.10FU,"Macroconia_leptosphaeriae, Cosmospora_sp, Macroconia_sphaeriae","Macroconia_sphaeriae, Cosmospora_sp",Different species in SH
SH1324076.10FU,"Inocybe_sp, Inocybe_maculata, Inosperma_maculatum","Inocybe_sp, Inosperma_maculatum",Different species in SH
SH1303932.10FU,"Polycauliona_phlogina, Caloplaca_scythica, Caloplaca_sp","Scythioria_phlogina, Caloplaca_sp",Different species in SH
SH1211257.10FU,"Gymnopus_indoctus, Gymnopus_sp, Collybiopsis_indocta","Collybiopsis_indocta, Gymnopus_sp",Different species in SH
SH1058441.10FU,"Umbilicaria_grisea, Umbilicaria_hirsuta",Umbilicaria_hirsuta,Different species in SH
SH1222551.10FU,"Fungi_sp, Ascomycota_sp, Sordariomycetes_sp, Chaetomium_sp, Chaetomium_cupreum, Arcopilus_cupreus, Xylariales_sp, Colletotrichum_sp","Fungi_sp, Ascomycota_sp, Sordariomycetes_sp, Chaetomium_sp, Arcopilus_cupreus, Xylariales_sp, Colletotrichum_sp",Different species in SH
SH1365494.10FU,"Cortinarius_bibulus, Cortinarius_lilacinopusillus, Cortinarius_sp","Cortinarius_bibulus, Cortinarius_sp",Different species in SH
SH1405831.10FU,"Inocybe_maculata, Inocybe_sp, Inosperma_maculatum, Cortinariaceae_sp","Inosperma_maculatum, Inocybe_sp, Cortinariaceae_sp",Different species in SH
SH1281049.10FU,"Thelephora_anthocephala, Thelephora_digitata, Thelephoraceae_sp, Thelephora_sp","Thelephora_anthocephala, Thelephoraceae_sp, Thelephora_sp",Different species in SH
SH1376001.10FU,"Psilocybe_caerulescens, Psilocybe_caribaea, Psilocybe_weilii",Psilocybe_caerulescens,Different species in SH
SH1221764.10FU,"Sphaeronaemella_helvellae, Microascales_sp, Melanospora_karstenii","Melanospora_karstenii, Microascales_sp",Different species in SH
SH1301292.10FU,"Marasmiellus_koreanus, Marasmiellus_sp, Collybiopsis_koreana","Collybiopsis_koreana, Marasmiellus_sp",Different species in SH
SH1310138.10FU,"Carcinomyces_polyporina, Carcinomyces_polyporinus",Carcinomyces_polyporinus,Different species in SH
SH1146432.10FU,"Octaviania_asterosperma, Boletales_sp, Boletaceae_sp, Octaviania_mutabilis, Fungi_sp, Octaviania_sp","Octaviania_asterosperma, Boletales_sp, Boletaceae_sp, Fungi_sp, Octaviania_sp",Different species in SH
SH1255367.10FU,"Pezoloma_ericae, Pezoloma_sp, Helotiales_sp, Hyaloscypha_hepaticicola","Hyaloscypha_hepaticicola, Pezoloma_sp, Helotiales_sp",Different species in SH
SH1293767.10FU,"Chaenotricha_obsura, Chaenotricha_obscura",Chaenotricha_obscura,Different species in SH
SH1295858.10FU,"Descomyces_sp, Descomyces_albus, Descolea_alba","Descomyces_sp, Conocybe_alba, Descolea_alba",Different species in SH
SH1289161.10FU,"Lecidella_elaeochroma, Lecidella_achristotera",Lecidella_elaeochroma,Different species in SH
SH1301605.10FU,"Coprinopsis_spelaiophila, Coprinopsis_sp, Coprinopsis_mitrispora","Coprinopsis_mitrispora, Coprinopsis_sp",Different species in SH
SH1255720.10FU,"Helotiales_sp, Pezoloma_ericae, Fungi_sp, Pezoloma_sp, Hyaloscypha_hepaticicola","Helotiales_sp, Hyaloscypha_hepaticicola, Fungi_sp, Pezoloma_sp",Different species in SH
SH1306924.10FU,"Penicillium_sp, Penicillium_citreonigrum, Penicillium_hirayamae","Penicillium_sp, Penicillium_citreonigrum",Different species in SH
SH1212398.10FU,"Gnomoniopsis_sp, Gnomoniopsis_smithogilvyi, Gnomoniopsis_castaneae","Gnomoniopsis_sp, Gnomoniopsis_smithogilvyi",Different species in SH
SH1357192.10FU,"Conocybe_smithii, Conocybe_cyanopus",Pholiotina_cyanopus,Different species in SH
SH1219949.10FU,"Cercophora_coprophila, Cladorrhinum_coprophilum, Cercophora_sp","Cladorrhinum_coprophilum, Cercophora_sp",Different species in SH
SH1365673.10FU,"Cortinarius_venustus, Cortinarius_sp, Cortinarius_traganulus, Cortinariaceae_sp","Cortinarius_venustus, Cortinarius_sp, Cortinariaceae_sp",Different species in SH
SH1259792.10FU,"Trogia_sp, Porotheleum_omphaliiforme, Agaricales_sp, Marasmiellomycena_omphaliiformis","Trogia_sp, Marasmiellomycena_omphaliiformis, Agaricales_sp",Different species in SH
SH1328259.10FU,"Russula_sp, Russula_cuprea, Russula_juniperina","Russula_sp, Russula_cuprea",Different species in SH
SH1090649.10FU,"Harrya_chromapes, Boletales_sp, Harrya_chromipes","Harrya_chromipes, Boletales_sp",Different species in SH
SH1319400.10FU,"Absidia_caatingaensis, Absidia_caatinguensis",Absidia_caatingaensis,Different species in SH
SH1379274.10FU,"Myrothecium_sp, Tangerinosporium_thalitricola, Tangerinosporium_thalictricola","Myrothecium_sp, Tangerinosporium_thalictricola",Different species in SH
SH1271967.10FU,"Hygrocybe_irrigata, Gliophorus_irrigatus, Hygrocybe_sp","Gliophorus_irrigatus, Hygrocybe_sp",Different species in SH
SH1090653.10FU,"Harrya_chromapes, Harrya_chromipes",Harrya_chromipes,Different species in SH
SH1241219.10FU,"Melanchlenus_eumetabolus, Rhinocladiella_atrovirens",Rhinocladiella_atrovirens,Different species and genera in SH
SH1174275.10FU,"Micromphale_brevipes, Gymnopus_neobrevipes, Gymnopus_sp","Gymnopus_neobrevipes, Gymnopus_sp",Different species and genera in SH
SH1187332.10FU,"Psoroma_hispidulum, Hispidopannaria_hispidula",Hispidopannaria_hispidula,Different species and genera in SH
SH1350485.10FU,"Datronia_scutellata, Cerioporus_scutellatus",Cerioporus_scutellatus,Different species and genera in SH
SH1220629.10FU,"Cyphellostereum_laeve, Muscinupta_laevis",Muscinupta_laevis,Different species and genera in SH
SH1377509.10FU,"Malotium_paludosum, Cyathicula_paludosa",Cyathicula_paludosa,Different species and genera in SH
SH1220627.10FU,"Cyphellostereum_laeve, Muscinupta_laevis",Muscinupta_laevis,Different species and genera in SH
SH1227011.10FU,"Pachyphloeus_sp, Pachyphloeus_oleifer, Pachyphlodes_oleifera","Pachyphloeus_sp, Pachyphloeus_oleifer",Different species and genera in SH
SH1374048.10FU,"Turbinellus_floccosus, Gomphus_bonarii",Turbinellus_floccosus,Different species and genera in SH
SH1216213.10FU,"Lanmaoa_pallidorosea, Boletus_pallidoroseus, Lanmaoa_sp","Lanmaoa_pallidorosea, Lanmaoa_sp",Different species and genera in SH
SH1376104.10FU,"Naucoria_salicis, Naucoria_sp, Alnicola_macrospora","Naucoria_salicis, Naucoria_sp",Different species and genera in SH
SH1337779.10FU,"Symmetrospora_sp, Symmetrospora_vermiculata, Sporobolomyces_vermiculatus","Symmetrospora_sp, Symmetrospora_vermiculata",Different species and genera in SH
SH1178700.10FU,"Helicosporium_aureum, Acanthohelicospora_aurea",Acanthohelicospora_aurea,Different species and genera in SH
SH1401603.10FU,"Polyporus_udus, Bresadolia_uda",Favolus_udus,Different species and genera in SH
SH1349550.10FU,"Tyromyces_duracinus, Trullella_duracina",Trullella_duracina,Different species and genera in SH
SH1208483.10FU,"Inocybe_breviterincarnata, Pseudosperma_breviterincarnatum",Pseudosperma_breviterincarnatum,Different species and genera in SH
SH1080299.10FU,"Irpex_rosettiformis, Hydnopolyporus_fimbriatus",Irpex_rosettiformis,Different species and genera in SH
SH1237780.10FU,"Leptonia_occidentalis, Entoloma_occidentale",Entoloma_occidentale,Different species and genera in SH
SH1386321.10FU,"Hyphodontia_taiwaniana, Xylodon_taiwanianus",Xylodon_taiwanianus,Different species and genera in SH
SH1349999.10FU,"Aleurodiscus_mirabilis, Gloeosoma_mirabile",Gloeosoma_mirabile,Different species and genera in SH
SH1088881.10FU,"Daedaleopsis_styracina, Lenzites_styracinus",Lenzites_styracinus,Different species and genera in SH
SH1406091.10FU,"Inocybe_vinaceobrunnea, Inosperma_vinaceobrunneum",Inosperma_vinaceobrunneum,Different species and genera in SH
SH1387309.10FU,"Coprinus_cordisporus, Narcissea_cordispora",Narcissea_cordispora,Different species and genera in SH
SH1262531.10FU,"Leucogyrophana_arizonica, Gyrodontium_arizonicum",Gyrodontium_arizonicum,Different species and genera in SH
SH1191358.10FU,"Pholiota_astragalina, Pyrrhulomyces_astragalinus",Pyrrhulomyces_astragalinus,Different species and genera in SH
SH1308946.10FU,"Dendrodacrys_brasiliense, Dacryopsis_brasiliensis",Dendrodacrys_brasiliense,Different species and genera in SH
SH1090848.10FU,"Hyphodontia_crustosa, Lyomyces_crustosus",Lyomyces_crustosus,Different species and genera in SH
SH1360260.10FU,"Chaetosphaeria_ellisii, Paragaeumannomyces_longisporus",Paragaeumannomyces_longisporus,Different species and genera in SH
SH1331929.10FU,"Herpotrichia_parasitica, Nematostoma_parasiticum",Nematostoma_parasiticum,Different species and genera in SH
SH1196648.10FU,"Haptocillium_sinense, Drechmeria_sinensis",Drechmeria_sinensis,Different species and genera in SH
SH1412725.10FU,"Riopa_metamorphosa, Sporotrichum_aurantiacum",Riopa_metamorphosa,Different species and genera in SH
SH1347524.10FU,"Stigmina_platani, Pseudocercospora_sp, Pseudocercospora_platanigena","Pseudocercospora_platanigena, Pseudocercospora_sp",Different species and genera in SH
SH1388795.10FU,"Gliophorus_sp, Hygrocybe_laeta, Gliophorus_laetus","Gliophorus_sp, Gliophorus_laetus",Different species and genera in SH
SH1080134.10FU,"Szczawinskia_tsugae, Micarea_clavopycnidiata",Szczawinskia_tsugae,Different species and genera in SH
SH1054534.10FU,"Seimatosporium_falcatum, Allelochaeta_falcata",Allelochaeta_falcata,Different species and genera in SH
SH1273074.10FU,"Seimatosporium_biseptatum, Allelochaeta_biseptata",Allelochaeta_biseptata,Different species and genera in SH
SH1409074.10FU,"Diederichomyces_ficuzzae, Didymocyrtis_ramalinae",Didymocyrtis_ramalinae,Different species and genera in SH
SH1229302.10FU,"Auxarthron_chinense, Malbranchea_chinensis",Auxarthron_chinense,Different species and genera in SH
SH1312116.10FU,"Hexagonia_cucullata, Pseudofavolus_cucullatus",Hexagonia_cucullata,Different species and genera in SH
SH1220562.10FU,"Heteroconium_eucalypti, Thyrinula_uruguayensis, Thyrinula_sp","Thyrinula_uruguayensis, Thyrinula_sp",Different species and genera in SH
SH1054417.10FU,"Laetiporus_persicinus, Berkcurtia_persicina",Berkcurtia_persicina,Different species and genera in SH
SH1388909.10FU,"Collybiopsis_polygramma, Gymnopus_polygrammus",Collybiopsis_polygramma,Different species and genera in SH
SH1169323.10FU,"Fellomyces_mexicanus, Kockovaella_mexicana",Kockovaella_mexicana,Different species and genera in SH
SH1153717.10FU,"Amauroascus_echinulatus, Mallochia_echinulata",Mallochia_echinulata,Different species and genera in SH
SH1304494.10FU,"Junghuhnia_fimbriatella, Steccherinum_fimbriatellum",Steccherinum_fimbriatellum,Different species and genera in SH
SH1202547.10FU,"Cystoagaricus_hirtosquamulosus, Psathyrella_hirtosquamulosa",Cystoagaricus_hirtosquamulosus,Different species and genera in SH
SH1339971.10FU,"Microsphaera_sinensis, Erysiphe_castaneigena",Erysiphe_castaneigena,Different species and genera in SH
SH1229319.10FU,"Gymnoascus_reticulatus, Malbranchea_reticulata",Malbranchea_reticulata,Different species and genera in SH
SH1317918.10FU,"Calycina_claroflava, Bisporella_sulfurina",Calycina_claroflava,Different species and genera in SH
SH1273328.10FU,"Ramichloridium_musae, Zasmidium_musigenum",Zasmidium_musigenum,Different species and genera in SH
SH1386361.10FU,"Hyphodontia_heterocystidiata, Xylodon_heterocystidiatus",Xylodon_heterocystidiatus,Different species and genera in SH
SH1176324.10FU,"Sarcodontia_pachyodon, Irpiciporus_mollis",Irpiciporus_pachyodon,Different species and genera in SH
SH1088192.10FU,"Amauroderma_brasiliense, Furtadomyces_brasiliensis",Furtadomyces_brasiliensis,Different species and genera in SH
SH1322051.10FU,"Hygrocybe_russocoriacea, Cuphophyllus_russocoriaceus, Cuphophyllus_sp","Cuphophyllus_russocoriaceus, Cuphophyllus_sp",Different species and genera in SH
SH1377458.10FU,"Lachnum_brasiliense, Erioscyphella_brasiliensis",Erioscyphella_brasiliensis,Different species and genera in SH
SH1217712.10FU,"Gyrothrix_circinata, Circinotrichum_circinatum",Circinotrichum_circinatum,Different species and genera in SH
SH1217714.10FU,"Gyrothrix_circinata, Circinotrichum_circinatum",Circinotrichum_circinatum,Different species and genera in SH
SH1231976.10FU,"Richoniella_asterospora, Entoloma_sp, Entoloma_asterosporum","Entoloma_asterosporum, Entoloma_sp",Different species and genera in SH
SH1198615.10FU,"Rhodophyllus_crassipes, Entoloma_sarcopum",Entoloma_sarcopus,Different species and genera in SH
SH1191355.10FU,"Pholiota_astragalina, Pyrrhulomyces_astragalinus",Pyrrhulomyces_astragalinus,Different species and genera in SH
